outcome_level,actual_outcome,effort,action_type,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
40,32,50,approach,1,order1,reward,shifted,1,1,schedule_A_4
80,91,95,approach,2,order1,reward,shifted,2,1,schedule_A_4
60,58,90,approach,3,order1,reward,shifted,3,1,schedule_A_4
20,19,65,approach,4,order1,reward,shifted,4,1,schedule_A_4
100,95,50,approach,5,order1,reward,shifted,5,1,schedule_A_4
80,94,70,approach,6,order1,reward,shifted,6,1,schedule_A_4
80,82,85,approach,7,order1,reward,shifted,7,1,schedule_A_4
60,71,70,approach,8,order1,reward,shifted,8,1,schedule_A_4
80,91,55,approach,9,order1,reward,shifted,9,1,schedule_A_4
80,87,75,approach,10,order1,reward,shifted,10,1,schedule_A_4
100,114,90,approach,11,order1,reward,shifted,11,1,schedule_A_4
40,40,60,approach,12,order1,reward,shifted,12,1,schedule_A_4
100,85,55,approach,13,order1,reward,shifted,13,1,schedule_A_4
40,42,60,approach,14,order1,reward,shifted,14,1,schedule_A_4
20,18,50,approach,15,order1,reward,shifted,15,1,schedule_A_4
40,34,95,approach,16,order1,reward,shifted,16,1,schedule_A_4
80,74,80,approach,17,order1,reward,shifted,17,1,schedule_A_4
60,67,75,approach,18,order1,reward,shifted,18,1,schedule_A_4
80,72,85,approach,19,order1,reward,shifted,19,1,schedule_A_4
20,20,90,approach,20,order1,reward,shifted,20,1,schedule_A_4
40,38,70,approach,21,order1,reward,shifted,21,1,schedule_A_4
40,39,55,approach,22,order1,reward,shifted,22,1,schedule_A_4
100,119,60,approach,23,order1,reward,shifted,23,1,schedule_A_4
80,98,80,approach,24,order1,reward,shifted,24,1,schedule_A_4
80,97,65,approach,25,order1,reward,shifted,25,1,schedule_A_4
20,21,55,approach,26,order1,reward,shifted,26,1,schedule_A_4
40,35,75,approach,27,order1,reward,shifted,27,1,schedule_A_4
60,60,65,approach,28,order1,reward,shifted,28,1,schedule_A_4
80,77,90,approach,29,order1,reward,shifted,29,1,schedule_A_4
80,59,50,approach,30,order1,reward,shifted,30,1,schedule_A_4
20,23,80,approach,31,order1,reward,shifted,31,1,schedule_A_4
40,41,50,approach,32,order1,reward,shifted,32,1,schedule_A_4
20,20,55,approach,33,order1,reward,shifted,33,1,schedule_A_4
80,81,100,approach,34,order1,reward,shifted,34,1,schedule_A_4
100,98,90,approach,35,order1,reward,shifted,35,1,schedule_A_4
40,34,65,approach,36,order1,reward,shifted,36,1,schedule_A_4
100,91,95,approach,37,order1,reward,shifted,37,1,schedule_A_4
60,62,65,approach,38,order1,reward,shifted,38,1,schedule_A_4
100,83,80,approach,39,order1,reward,shifted,39,1,schedule_A_4
20,16,85,approach,40,order1,reward,shifted,40,1,schedule_A_4
100,101,85,approach,41,order1,reward,shifted,41,1,schedule_A_4
40,41,90,approach,42,order1,reward,shifted,42,1,schedule_A_4
40,36,55,approach,43,order1,reward,shifted,43,1,schedule_A_4
40,43,80,approach,44,order1,reward,shifted,44,1,schedule_A_4
80,86,75,approach,45,order1,reward,shifted,45,1,schedule_A_4
100,104,75,approach,46,order1,reward,shifted,46,1,schedule_A_4
60,67,75,approach,47,order1,reward,shifted,47,1,schedule_A_4
100,98,85,approach,48,order1,reward,shifted,48,1,schedule_A_4
100,98,65,approach,49,order1,reward,shifted,49,1,schedule_A_4
60,65,70,approach,50,order1,reward,shifted,50,1,schedule_A_4
80,77,90,approach,1,order2,reward,normal,51,2,schedule_A_4
60,67,75,approach,2,order2,reward,normal,52,2,schedule_A_4
100,104,75,approach,3,order2,reward,normal,53,2,schedule_A_4
20,19,65,approach,4,order2,reward,normal,54,2,schedule_A_4
100,98,90,approach,5,order2,reward,normal,55,2,schedule_A_4
100,114,90,approach,6,order2,reward,normal,56,2,schedule_A_4
40,40,60,approach,7,order2,reward,normal,57,2,schedule_A_4
20,20,90,approach,8,order2,reward,normal,58,2,schedule_A_4
80,91,95,approach,9,order2,reward,normal,59,2,schedule_A_4
80,98,80,approach,10,order2,reward,normal,60,2,schedule_A_4
80,82,85,approach,11,order2,reward,normal,61,2,schedule_A_4
40,34,65,approach,12,order2,reward,normal,62,2,schedule_A_4
80,86,75,approach,13,order2,reward,normal,63,2,schedule_A_4
80,74,80,approach,14,order2,reward,normal,64,2,schedule_A_4
100,85,55,approach,15,order2,reward,normal,65,2,schedule_A_4
