outcome_level,actual_outcome,effort,action_type,rating,trial_in_block,trial_order,attention_focus,global_effort_state,trial_in_experiment,block_number,schedule_version
100,95,50,approach,False,1,order1,heart,normal,1,1,schedule_A_1
40,38,70,approach,False,2,order1,heart,normal,2,1,schedule_A_1
100,119,60,approach,False,3,order1,heart,normal,3,1,schedule_A_1
80,74,80,approach,False,4,order1,heart,normal,4,1,schedule_A_1
60,71,70,approach,False,5,order1,heart,normal,5,1,schedule_A_1
80,59,50,approach,True,6,order1,heart,normal,6,1,schedule_A_1
20,23,80,approach,False,7,order1,heart,normal,7,1,schedule_A_1
100,98,85,approach,False,8,order1,heart,normal,8,1,schedule_A_1
20,20,55,approach,False,9,order1,heart,normal,9,1,schedule_A_1
60,67,75,approach,False,10,order1,heart,normal,10,1,schedule_A_1
60,65,70,approach,False,11,order1,heart,normal,11,1,schedule_A_1
40,42,60,approach,False,12,order1,heart,normal,12,1,schedule_A_1
80,98,80,approach,False,13,order1,heart,normal,13,1,schedule_A_1
40,41,90,approach,False,14,order1,heart,normal,14,1,schedule_A_1
40,34,65,approach,False,15,order1,heart,normal,15,1,schedule_A_1
40,35,75,approach,True,16,order1,heart,normal,16,1,schedule_A_1
80,91,95,approach,False,17,order1,heart,normal,17,1,schedule_A_1
60,62,65,approach,False,18,order1,heart,normal,18,1,schedule_A_1
100,101,85,approach,False,19,order1,heart,normal,19,1,schedule_A_1
100,85,55,approach,False,20,order1,heart,normal,20,1,schedule_A_1
20,20,90,approach,False,21,order1,heart,normal,21,1,schedule_A_1
100,98,65,approach,False,22,order1,heart,normal,22,1,schedule_A_1
20,21,55,approach,False,23,order1,heart,normal,23,1,schedule_A_1
80,72,85,approach,False,24,order1,heart,normal,24,1,schedule_A_1
40,39,55,approach,True,25,order1,heart,normal,25,1,schedule_A_1
20,18,50,approach,False,26,order1,heart,normal,26,1,schedule_A_1
100,104,75,approach,False,27,order1,heart,normal,27,1,schedule_A_1
80,86,75,approach,False,28,order1,heart,normal,28,1,schedule_A_1
60,60,65,approach,False,29,order1,heart,normal,29,1,schedule_A_1
100,91,95,approach,True,30,order1,heart,normal,30,1,schedule_A_1
100,98,90,approach,False,31,order1,heart,normal,31,1,schedule_A_1
20,19,65,approach,False,32,order1,heart,normal,32,1,schedule_A_1
60,67,75,approach,False,33,order1,heart,normal,33,1,schedule_A_1
100,114,90,approach,False,34,order1,heart,normal,34,1,schedule_A_1
80,82,85,approach,False,35,order1,heart,normal,35,1,schedule_A_1
40,34,95,approach,True,36,order1,heart,normal,36,1,schedule_A_1
40,43,80,approach,False,37,order1,heart,normal,37,1,schedule_A_1
80,91,55,approach,False,38,order1,heart,normal,38,1,schedule_A_1
40,36,55,approach,False,39,order1,heart,normal,39,1,schedule_A_1
40,40,60,approach,False,40,order1,heart,normal,40,1,schedule_A_1
40,32,50,approach,False,41,order1,heart,normal,41,1,schedule_A_1
40,41,50,approach,False,42,order1,heart,normal,42,1,schedule_A_1
80,94,70,approach,False,43,order1,heart,normal,43,1,schedule_A_1
60,58,90,approach,True,44,order1,heart,normal,44,1,schedule_A_1
100,83,80,approach,False,45,order1,heart,normal,45,1,schedule_A_1
80,77,90,approach,False,46,order1,heart,normal,46,1,schedule_A_1
80,81,100,approach,False,47,order1,heart,normal,47,1,schedule_A_1
80,97,65,approach,False,48,order1,heart,normal,48,1,schedule_A_1
20,16,85,approach,False,49,order1,heart,normal,49,1,schedule_A_1
